IMDB ID,Title,Actors,Writer,Genre,Plot
tt4728568,DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Yoshitsugu Matsuoka, Inori Minase, Bryson Baugus, Luci Christian",  ,"Animation, Action, Adventure, Comedy, Fantasy, Romance","Commonly known as the ""Dungeon,"" the city of Orario possesses a huge labyrinth in the underground. Its strange name attracts excitement, illusions of honor, and hopes of romance with a ..."
tt0366005,Danny Phantom,"David Kaufman, Grey Griffin, Rickey D'Shon Collins, Colleen O'Shaughnessey","Steve Marmel, Butch Hartman","Animation, Action, Adventure, Comedy, Family, Fantasy, Horror, Sci-Fi",A 14-year-old receives ghost powers and uses them to save the world
tt3322312,Daredevil,"Charlie Cox, Deborah Ann Woll, Elden Henson, Vincent D'Onofrio",Drew Goddard,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
tt0118298,Daria,"Tracy Grandstaff, Wendy Hoopes, Julian Rebolledo, John Lynn","Glenn Eichler, Susie Lewis","Animation, Comedy, Drama, Romance",A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.
tt5753856,Dark,"Oliver Masucci, Karoline Eichhorn, Jördis Triebel, Louis Hofmann","Baran bo Odar, Jantje Friese","Crime, Drama, Mystery, Sci-Fi, Thriller","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
tt4159076,Dark Matter,"Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Zoie Palmer","Joseph Mallozzi, Paul Mullie","Adventure, Drama, Mystery, Sci-Fi, Thriller","In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android."
tt2575684,Date a Live,"Josh Grelle, Michelle Rojas, Bryn Apprill, Michelle Lee",  ,"Animation, Action, Comedy, Fantasy, Romance, Sci-Fi, Thriller","A boy named Itsuka Shido meets a spirit girl who has been rejected by a devastated world. The girl, who Shido names Tohka, happens to have wiped out much of humanity 30 years ago, and now ..."
tt0118300,Dawson's Creek,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson",Kevin Williamson,"Drama, Romance",Four friends in a small coastal town help each other cope with adolescence.
tt0058796,Days of Our Lives,"Frances Reid, John Clarke, Macdonald Carey, Josh Taylor","Irna Phillips, Allan Chase, Ted Corday","Drama, Romance","A chronicle of the lives, loves, trials and tribulations of the citizens of the fictional city of Salem."
tt4532368,DC's Legends of Tomorrow,"Brandon Routh, Caity Lotz, Amy Louise Pemberton, Dominic Purcell","Greg Berlanti, Marc Guggenheim, Phil Klemmer, Andrew Kreisberg","Action, Adventure, Drama, Sci-Fi","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
tt1652216,DCI Banks,"Stephen Tompkinson, Jack Deam, Andrea Lowe, Caroline Catz",  ,"Crime, Drama, Mystery","The tenacious and stubborn DCI Banks unravels disturbing murder mysteries aided by his young assistants, DS Annie Cabbot and DI Helen Morton."
tt0348913,Dead Like Me,"Ellen Muth, Callum Blue, Jasmine Guy, Mandy Patinkin",Bryan Fuller,"Comedy, Drama, Fantasy","After being hit on the head by a toilet seat, a young temp clerk becomes a grim reaper in death."
tt1285482,Dead Set,"Jaime Winstone, Liz May Brice, Beth Cordingly, Adam Deacon",  ,"Comedy, Drama, Horror","During a fictional series of Big Brother, a zombie outbreak occurs, but the house-mates are unaware of the impending doom outside of the Big Brother House."
tt0446809,Deadliest Catch,"Mike Rowe, Sig Hansen, Edgar Hansen, Keith Colburn",  ,"Documentary, Adventure, Reality-TV",A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadliest profession in the world.
tt5924572,Deadly Class,"Benedict Wong, Benjamin Wadsworth, Lana Condor, María Gabriela de Faría","Miles Orion Feldsott, Rick Remender","Action, Crime, Drama, Thriller","A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins."
tt1909447,Deadman Wonderland,"Greg Ayres, Kana Hanazawa, Romi Pak, Monica Rial",  ,"Animation, Action, Drama, Horror, Thriller","After being falsely convicted for the murder of his entire class, a young man must learn to survive in a mysterious prison with a perverted take on incarceration while also looking to clear his name."
tt6616260,Deadwind,"Pihla Viitala, Lauri Tilkanen, Jani Volanen, Tommi Korpela",  ,"Crime, Drama, Thriller","When Sofia Karppi, a detective in her 30's who is trying to get over her husband's death, discovers the body of a young woman on a construction site, she triggers a chain of events that ..."
tt0348914,Deadwood,"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif",David Milch,"Crime, Drama, History, Western","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
tt2235108,Dear White People,"Tyler James Williams, Tessa Thompson, Kyle Gallner, Teyonah Parris",Justin Simien (screenplay),"Comedy, Drama, Romance",The lives of four black students at an Ivy League college.
tt1888075,Death in Paradise,"Danny John-Jules, Elizabeth Bourgine, Don Warrington, Joséphine Jobert",Robert Thorogood,"Crime, Drama, Mystery, Thriller","A British inspector is transferred to Saint-Marie's police department, but he hates the sun, sea and sand. The series follow his investigations into murders on the island. Later series see another British DI head the investigative team."
tt0877057,Death Note,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",  ,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
